tags;patterns
Operations Research;Wann habe ich diese Woche Operations Research?
Operations Research;Habe ich diese Woche Operations Research?
Englisch 2;Wann habe ich Englisch 2?
Englisch 2;Wann habe ich heute Englisch 2?
Englisch 2;Wann habe ich morgen Englisch 2?
Englisch 2;Wann habe ich diese Woche Englisch 2?
Englisch 2;Habe ich diese Woche Englisch 2?
Programmieren 2;Wann habe ich Programmieren 2?
Programmieren 2;Wann habe ich heute Programmieren 2?
Programmieren 2;Wann habe ich morgen Programmieren 2?
Programmieren 2;Wann habe ich diese Woche Programmieren 2?
Programmieren 2;Habe ich diese Woche Programmieren 2?
Digitale Wertschöpfungsketten;Wann habe ich Digitale Wertschöpfungsketten?
Digitale Wertschöpfungsketten;Wann habe ich heute Digitale Wertschöpfungsketten?
Digitale Wertschöpfungsketten;Wann habe ich morgen Digitale Wertschöpfungsketten?
Digitale Wertschöpfungsketten;Wann habe ich diese Woche Digitale Wertschöpfungsketten?
Digitale Wertschöpfungsketten;Habe ich diese Woche Digitale Wertschöpfungsketten?
Marketing und Marktforschung;Wann habe ich Marketing und Marktforschung?
Marketing und Marktforschung;Wann habe ich heute Marketing und Marktforschung?
Marketing und Marktforschung;Wann habe ich morgen Marketing und Marktforschung?
Marketing und Marktforschung;Wann habe ich diese Woche Marketing und Marktforschung?
Marketing und Marktforschung;Habe ich diese Woche Marketing und Marktforschung?
IT-Sicherheit;Wann habe ich IT-Sicherheit?
IT-Sicherheit;Wann habe ich heute IT-Sicherheit?
IT-Sicherheit;Wann habe ich morgen IT-Sicherheit?
IT-Sicherheit;Wann habe ich diese Woche IT-Sicherheit?
IT-Sicherheit;Habe ich diese Woche IT-Sicherheit?
Unternehmensführung;Wann habe ich Unternehmensführung?
Unternehmensführung;Wann habe ich heute Unternehmensführung?
Unternehmensführung;Wann habe ich morgen Unternehmensführung?
Unternehmensführung;Wann habe ich diese Woche Unternehmensführung?
Unternehmensführung;Habe ich diese Woche Unternehmensführung?
Softwareengineering und Tools;Wann habe ich Softwareengineering und Tools?
Softwareengineering und Tools;Wann habe ich heute Softwareengineering und Tools?
Softwareengineering und Tools;Wann habe ich morgen Softwareengineering und Tools?
Softwareengineering und Tools;Wann habe ich diese Woche Softwareengineering und Tools?
Softwareengineering und Tools;Habe ich diese Woche Softwareengineering und Tools?
Entwicklung von Informationssystemen;Wann habe ich Entwicklung von Informationssystemen?
Entwicklung von Informationssystemen;Wann habe ich heute Entwicklung von Informationssystemen?
Entwicklung von Informationssystemen;Wann habe ich morgen Entwicklung von Informationssystemen?
Entwicklung von Informationssystemen;Wann habe ich diese Woche Entwicklung von Informationssystemen?
Entwicklung von Informationssystemen;Habe ich diese Woche Entwicklung von Informationssystemen?
CRM;Wann habe ich CRM?
CRM;Wann habe ich heute CRM?
CRM;Wann habe ich morgen CRM?
CRM;Wann habe ich diese Woche CRM?
CRM;Habe ich diese Woche CRM?
Datenschutz nach DSGVO;Wann habe ich Datenschutz nach DSGVO?
Datenschutz nach DSGVO;Wann habe ich heute Datenschutz nach DSGVO?
Datenschutz nach DSGVO;Wann habe ich morgen Datenschutz nach DSGVO?
Datenschutz nach DSGVO;Wann habe ich diese Woche Datenschutz nach DSGVO?
Datenschutz nach DSGVO;Habe ich diese Woche Datenschutz nach DSGVO?
Data Mining & Machine Learning;Wann habe ich Data Mining & Machine Learning?
Data Mining & Machine Learning;Wann habe ich heute Data Mining & Machine Learning?
Data Mining & Machine Learning;Wann habe ich morgen Data Mining & Machine Learning?
Data Mining & Machine Learning;Wann habe ich diese Woche Data Mining & Machine Learning?
Data Mining & Machine Learning;Habe ich diese Woche Data Mining & Machine Learning?
Softskills;Wann habe ich Softskills?
Softskills;Wann habe ich heute Softskills?
Softskills;Wann habe ich morgen Softskills?
Softskills;Wann habe ich diese Woche Softskills?
Softskills;Habe ich diese Woche Softskills?
Visual Thinking;Wann habe ich Visual Thinking?
Visual Thinking;Wann habe ich heute Visual Thinking?
Visual Thinking;Wann habe ich morgen Visual Thinking?
Visual Thinking;Wann habe ich diese Woche Visual Thinking?
Visual Thinking;Habe ich diese Woche Visual Thinking?
Simulation Gameplay: myStartup;Wann habe ich Simulation Gameplay: myStartup?
Simulation Gameplay: myStartup;Wann habe ich heute Simulation Gameplay: myStartup?
Simulation Gameplay: myStartup;Wann habe ich morgen Simulation Gameplay: myStartup?
Simulation Gameplay: myStartup;Wann habe ich diese Woche Simulation Gameplay: myStartup?
Simulation Gameplay: myStartup;Habe ich diese Woche Simulation Gameplay: myStartup?
Python-Programmierung;Wann habe ich Python-Programmierung?
Python-Programmierung;Wann habe ich heute Python-Programmierung?
Python-Programmierung;Wann habe ich morgen Python-Programmierung?
Python-Programmierung;Wann habe ich diese Woche Python-Programmierung?
Python-Programmierung;Habe ich diese Woche Python-Programmierung?
Business Intelligence;Wann habe ich Business Intelligence?
Business Intelligence;Wann habe ich heute Business Intelligence?
Business Intelligence;Wann habe ich morgen Business Intelligence?
Business Intelligence;Wann habe ich diese Woche Business Intelligence?
Business Intelligence;Habe ich diese Woche Business Intelligence?
Unternehmensführung 2;Wann habe ich Unternehmensführung 2?
Unternehmensführung 2;Wann habe ich heute Unternehmensführung 2?
Unternehmensführung 2;Wann habe ich morgen Unternehmensführung 2?
Unternehmensführung 2;Wann habe ich diese Woche Unternehmensführung 2?
Unternehmensführung 2;Habe ich diese Woche Unternehmensführung 2?
International Marketing;Wann habe ich International Marketing?
International Marketing;Wann habe ich heute International Marketing?
International Marketing;Wann habe ich morgen International Marketing?
International Marketing;Wann habe ich diese Woche International Marketing?
International Marketing;Habe ich diese Woche International Marketing?
Marketing Mix;Wann habe ich Marketing Mix?
Marketing Mix;Wann habe ich heute Marketing Mix?
Marketing Mix;Wann habe ich morgen Marketing Mix?
Marketing Mix;Wann habe ich diese Woche Marketing Mix?
Marketing Mix;Habe ich diese Woche Marketing Mix?
IT-Management;Wann habe ich IT-Management?
IT-Management;Wann habe ich heute IT-Management?
IT-Management;Wann habe ich morgen IT-Management?
IT-Management;Wann habe ich diese Woche IT-Management?
IT-Management;Habe ich diese Woche IT-Management?
Design Managemen;Wann habe ich Design Managemen?
Design Managemen;Wann habe ich heute Design Managemen?
Design Managemen;Wann habe ich morgen Design Managemen?
Design Managemen;Wann habe ich diese Woche Design Managemen?
Design Managemen;Habe ich diese Woche Design Managemen?
Communication- u. Contflictmanagement;Wann habe ich Communication- u. Contflictmanagement?
Communication- u. Contflictmanagement;Wann habe ich heute Communication- u. Contflictmanagement?
Communication- u. Contflictmanagement;Wann habe ich morgen Communication- u. Contflictmanagement?
Communication- u. Contflictmanagement;Wann habe ich diese Woche Communication- u. Contflictmanagement?
Communication- u. Contflictmanagement;Habe ich diese Woche Communication- u. Contflictmanagement?
Cyber-Secruity;Wann habe ich Cyber-Secruity?
Cyber-Secruity;Wann habe ich heute Cyber-Secruity?
Cyber-Secruity;Wann habe ich morgen Cyber-Secruity?
Cyber-Secruity;Wann habe ich diese Woche Cyber-Secruity?
Cyber-Secruity;Habe ich diese Woche Cyber-Secruity?
VORLESUNGEN;Wann habe ich heute Vorlesung?
VORLESUNGEN;Wann habe ich diese Woche Vorlesung?
Wirtschaftsrecht;Wann habe ich Wirtschaftsrecht?
PRAXISSEMESTER;Welche Dokumente brauche ich um mein Praxissemester anzumelden?
EXMATRIKULIERUNG;Wie kann ich mich exmatrikulieren?
EXMATRIKULIERUNG;Wie kann ich mich exmatrikulieren?
MODULBESCHREIBUNGEN;Wo finde ich die Modulbeschreibungen?
BACHELORARBEIT;Wie kann ich meine Bachelorarbeit verlängern?
STUDIUM_GENERALE;Wie läuft das mit dem Studium Generale?
Wirtschaftsrecht;Wird morgen Wirtschaftsrecht gelesen?
BACHELORARBEIT;Was brauche ich zur Abgabe der Bachelorarbeit?
VORLESUNGEN;Wann habe ich diese Woche Vorlesungen?
VORLESUNGEN;Wann habe ich heute Vorlesungen?
VORLESUNGEN;Wann habe ich nächste Woche Vorlesungen?
BACHELORARBEIT;Was benötige ich um meine BachelorArbeit abzugeben?
BACHELORARBEIT;Was benötige ich für meine Bachelor Arbeit
AKTUELLES;Was gibt es aktuelles?
AKTUELLES;Was gibt es aktuelles?
VORLESUNGEN;Welche Vorlesungen habe Ich heute?
IT-Sicherheit;Wann findet IT-Sicherheit in dieser Woche statt?
Wirtschaftsrecht;Habe Ich morgen Wirtschaftsrecht?
Wirtschaftsrecht;Wann habe ich Wirtschaftsrecht?
Wirtschaftsrecht;Wann habe ich nächste Woche Wirtschaftsrecht?
VORLESUNGEN;Welche Vorlesungen werden nächste Woche gelesen?
EXMATRIKULIERUNG;Welche Dokumente brauche ich zur Exmatrikulation?
STUDIUM_GENERALE;Wie läuft das Studium Generale ab?
VORLESUNGEN;Was habe ich heute für Vorlesungen?
Wirtschaftsrecht;Wann ist Wirtschaftsrecht?
Wirtschaftsrecht;Ist morgen Wirtschaftsrecht?
VORLESUNGEN;Welche Vorlesungen sind nächste Woche?
EXMATRIKULIERUNG;Was brauche ich zur Exmatrikulation?
STUDIUM_GENERALE;Was ist das Studium Generale?
STUDIUM_GENERALE;Wie läuft das Studium Generale ab?
AKTUELLES;Gibt es Neuigkeiten?
PRÜFUNGSLEISTUNGEN;Wann sind Prüfungen?
STUDIENORDNUNG;Welche SPO haben wir?
MODULBESCHREIBUNGEN;Modulbeschreibungen
MODULBESCHREIBUNGEN;Wo kann ich die Modulbeschreibungen finden?
MODULBESCHREIBUNGEN;Modubeschreibungen?
MODULBESCHREIBUNGEN;Wo finde ich Modulbeschreibungen?
PRÜFUNGSLEISTUNGEN;Wie läuft das mit den Krankmeldungen?
VORLESUNGEN;Welche Vorlesung ist heute?
IT-Sicherheit;Wann findet IT-Sicherheit statt?
Wirtschaftsrecht;Ist morgen die Wirtschaftsrecht Vorlesung?
VORLESUNGEN;Welche Vorlesungen sind nächsten Woche?
EXMATRIKULIERUNG;Was benötige ich zur Exmatrikulation?
STUDIUM_GENERALE;Ich benötige Infos zum Studium Generale
VORLESUNGEN;Habe ich heute Vorlesung?
IT-Sicherheit;Wann findet IT-Sicherheit statt?
Wirtschaftsrecht;Habe ich morgen Vorlesung in Wirtschaftsrecht?
IT-Sicherheit;Habe ich morgen IT-Sicherheit?
VORLESUNGEN;Welche Vorlesungen habe ich nächste Woche?
EXMATRIKULIERUNG;Informationen zur Exmatrikulation
STUDIUM_GENERALE;Informationen zum Studium Generale
VORLESUNGEN;Wie sieht mein Vorlesungsplan für heute aus?
VORLESUNGEN;Welche Vorlesungen habe ich heute?
VORLESUNGEN;Wann habe ich heute Vorlesung?
IT-Sicherheit;Wann habe ich diese Woche IT-Sicherheit?
Wirtschaftsrecht;Wann habe ich morgen Wirtschaftsrecht?
VORLESUNGEN;Wann habe ich nächste Woche Vorlesung?
EXMATRIKULIERUNG;Forumlar zur Exmatrikulation
STUDIUM_GENERALE;Wie läuft das Studium Generale ab?
AKTUELLES;Schwarzes Brett
BACHELORARBEIT;Formular Anmeldung zur Bachelorarbeit
VORLESUNGEN;Wo finde ich meinen Stundenplan?
VORLESUNGEN;Welche Vorlesungen habe ich heute?
IT-Sicherheit;wann findet in dieser Woche die Veranstaltung IT-Sicherheit
Wirtschaftsrecht;Wird morgen Wirtschaftsrecht gelesen?
VORLESUNGEN;welche Vorlesungen nächste Woche gelesen werden
EXMATRIKULIERUNG;Dokument zur Exmatrikulation
STUDIUM_GENERALE;das Studium Generale und dessen Ablauf
VORLESUNGEN;heute vorlessungen?
VORLESUNGEN;Heute Vorlesungen?
IT-Sicherheit;Wann findet die IT-Sicherheit diese Woche statt?
IT-Sicherheit;IT-Sicher Vorlesungen?
Wirtschaftsrecht;Morgen Wirtschaftsrecht?
VORLESUNGEN;Vorlesungen nächste Woche
VORLESUNGEN;nechste Woche Vorlesungen?
AKTUELLES;schwarzes brett
BACHELORARBEIT;Bachlor Dokumente Anmeldung
STUDIUM_GENERALE;Studium Generale?
VORLESUNGEN;welche vorlesung habe ich heute?
VORLESUNGEN;Welche Vorlesung habe ich heute?
IT-Sicherheit;wann findet diese woche it-sicherheit statt?
VORLESUNGEN;habe ich nächste woche vorlesungen?
VORLESUNGEN;welche vorlesung habe ich nächste woche dienstag
AKTUELLES;welche news gibt es auf dem schwarzen brett?
BACHELORARBEIT;wo ist die anmeldung der bachelor arbeit
PRAXISSEMESTER;gib mir infos zum praxissemester
VORLESUNGEN;Habe ich heute Vorlesungen?
Wirtschaftsrecht;Habe ich morgen Wirtschaftsrecht?
Wirtschaftsrecht;Wann findet diese Woche Wirtschaftsrecht statt?
IT-Sicherheit;wann findet diese Woche IT-Sicherheit statt?
VORLESUNGEN;Habe ich nächste Woche Vorlesungen?
EXMATRIKULIERUNG;Wie bekomme ich die Dokumente zur Exmatrikulation?
STUDIUM_GENERALE;Wie läuft das Studium Generale ab?
AKTUELLES;Gibt es gerade Neuigkeiten am schwarzen Brett?
Wirtschaftsrecht;Wirtschaftsrecht
VORLESUNGEN;Wann beginnt die Vorlesung heute
IT-Sicherheit;IT-Sicherheitsvorlesung diese Woche
VORLESUNGEN;Welche Vorlesungen habe ich nächste Woche
EXMATRIKULIERUNG;Formular Exmatrikulation
EXMATRIKULIERUNG;Exmatrikulation
STUDIUM_GENERALE;Was ist ein Studium Generale
AKTUELLES;Was ist neu im Schwarzen Brett
PRÜFUNGSLEISTUNGEN;Wie kann ich mich zu einer Prüfung anmelden?
VORLESUNGEN;Wann habe ich heute Vorlesung?
VORLESUNGEN;Habe ich diese Woche überhaupt Vorlesungen?
VORLESUNGEN;Habe ich heute Vorlesung?
VORLESUNGEN;Habe ich diese Woche eine Vorlesung
VORLESUNGEN;Nächste Woche Vorlesung
EXMATRIKULIERUNG;Dokument Exmatri
EXMATRIKULIERUNG;Exmatrikulation
STUDIUM_GENERALE;Was ist das Studum Generale
AKTUELLES;Schwarzes Brett
PRÜFUNGSLEISTUNGEN;danke
VORLESUNGEN;Habe ich heute eine Vorlesung?
VORLESUNGEN;Habe ich diese Woche eine Vorlesung?
VORLESUNGEN;Habe ich nächste Woche eine Vorlesung?
EXMATRIKULIERUNG;Wo ist das Dokument Exmatrikulation?
PRAXISSEMESTER;Wie läuft das Praxissemester ab ?
AKTUELLES;Was steht auf dem Schwarzen Brett?
